time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1882.177843	266.456940	1.462976	-0.219795	141
1884.273909	266.536377	1.460682	-0.220357	143
1886.370160	266.559692	1.457327	-0.220851	145
1888.465814	266.672943	1.453569	-0.221355	147
1890.561959	266.731018	1.451329	-0.221852	149
1892.657646	266.749023	1.450832	-0.222952	151
1894.753308	266.765808	1.448060	-0.223424	153
1896.848977	266.775970	1.446076	-0.224241	155
1898.944432	266.751373	1.443709	-0.225035	157
1901.039923	266.702209	1.443936	-0.225882	159
1903.135183	266.644226	1.441084	-0.226770	161
1905.230503	266.532501	1.439127	-0.227289	163
1907.325775	266.399475	1.436757	-0.227999	165
1909.420937	266.199341	1.435862	-0.228722	167
1911.515971	266.069519	1.435035	-0.229353	169
1913.610963	265.933075	1.433403	-0.229844	171
1915.706045	265.673401	1.432017	-0.230329	173
1917.800959	265.440247	1.428689	-0.230150	175
1919.895732	265.181244	1.427741	-0.230835	177
1921.990243	264.950348	1.425988	-0.230995	179
1924.085329	264.672028	1.425516	-0.231603	181
1926.179652	264.281158	1.424828	-0.231718	183
1928.274076	263.893707	1.422971	-0.232111	185
1930.368411	263.548584	1.422161	-0.232591	187
1932.462995	263.221283	1.420551	-0.232983	189
1934.557469	262.814331	1.419614	-0.233588	191
1936.651991	262.512817	1.417174	-0.233971	193
1938.746506	262.159576	1.416509	-0.234105	195
1940.841377	261.925995	1.412505	-0.234119	197
1942.936270	261.713348	1.410299	-0.234263	199
1945.031414	261.464813	1.409101	-0.234898	201
1947.126435	261.379730	1.408742	-0.235510	203
1949.221638	261.182404	1.406766	-0.235786	205
1951.317098	261.122040	1.403969	-0.236050	207
1953.412814	261.091400	1.400797	-0.235971	209
1955.508196	261.089020	1.398995	-0.236643	211
1957.603782	261.047363	1.396855	-0.237047	213
1959.699845	261.046051	1.395183	-0.236973	215
1961.795654	261.114990	1.394202	-0.237827	217
1963.891567	261.107971	1.393048	-0.238045	219
1965.987252	261.206207	1.390700	-0.238198	221
1968.083209	261.209686	1.388241	-0.238538	223
1970.178782	261.179443	1.386021	-0.238322	225
1972.274362	261.203094	1.385760	-0.238759	227
1974.370072	261.181763	1.382878	-0.239166	229
1976.465374	261.011658	1.382002	-0.239467	231
1978.560526	260.912323	1.380489	-0.239424	233
1980.656095	260.844452	1.379236	-0.239937	235
1982.751186	260.747101	1.377776	-0.240107	237
1984.846566	260.568542	1.376259	-0.240214	239
1986.941464	260.486145	1.375298	-0.240164	241
1989.036618	260.307312	1.374679	-0.240589	243
1991.131638	260.151611	1.373163	-0.240895	245
1993.226699	259.930878	1.372651	-0.240579	247
1995.321595	259.748383	1.368992	-0.240066	249
1997.416499	259.465485	1.367673	-0.239919	251
1999.511167	259.288788	1.365061	-0.239524	253
2001.605245	258.977173	1.362968	-0.239440	255
2003.700591	258.655762	1.363397	-0.239683	1
2005.795023	258.298340	1.362764	-0.239268	3
2007.889249	257.962555	1.362749	-0.239634	5
2009.984196	257.635590	1.360903	-0.239569	7
2012.078603	257.301117	1.359103	-0.239265	9
2014.172884	256.953186	1.357500	-0.239154	11
2016.267056	256.548187	1.356490	-0.239010	13
2018.362012	256.289459	1.354684	-0.238801	15
2020.456686	256.069672	1.354747	-0.239645	17
2022.551695	255.802414	1.352707	-0.239295	19
2024.646763	255.615051	1.349697	-0.238655	21
2026.741863	255.479233	1.347172	-0.238391	23
2028.837155	255.371658	1.344724	-0.238110	25
2030.932661	255.287674	1.343215	-0.237974	27
2033.028062	255.221924	1.341419	-0.238014	29
2035.123768	255.134018	1.339677	-0.237808	31
2037.219193	255.095901	1.337103	-0.236880	33
2039.315043	255.185577	1.335998	-0.236527	35
2041.411328	255.266495	1.335669	-0.237180	37
2043.506854	255.250443	1.333953	-0.236874	39
2045.602455	255.249710	1.331080	-0.236154	41
2047.698095	255.204437	1.329058	-0.235720	43
2049.793867	255.216431	1.329112	-0.236193	45
2051.889130	255.098495	1.328538	-0.236237	47
2053.984430	255.023514	1.326548	-0.235826	49
2056.079547	254.930756	1.323483	-0.235101	51
2058.175142	254.835587	1.321034	-0.234560	53
2060.270306	254.718384	1.319803	-0.234310	55
2062.365356	254.587326	1.318356	-0.234118	57
2064.460352	254.398636	1.316904	-0.233487	59
2066.555303	254.277725	1.316068	-0.233516	61
2068.650477	254.093628	1.315185	-0.232995	63
2070.745285	253.914764	1.314251	-0.232882	65
2072.840208	253.651627	1.312893	-0.232147	67
2074.935207	253.435867	1.311204	-0.231663	69
2077.029557	253.191986	1.309687	-0.230748	71
2079.124528	252.964050	1.308723	-0.230480	73
2081.219136	252.650330	1.306187	-0.229755	75
2083.313668	252.331726	1.304512	-0.228880	77
2085.407929	252.111725	1.303990	-0.228828	79
2087.502539	251.727463	1.304185	-0.228520	81
2089.596972	251.414658	1.302284	-0.228110	83
2091.691781	251.117249	1.301619	-0.227690	85
2093.786053	250.803406	1.299320	-0.226982	87
2095.880871	250.619720	1.295678	-0.225997	89
2097.975547	250.335770	1.294775	-0.225372	91
2100.070584	250.149399	1.293007	-0.224834	93
2102.165497	249.986298	1.290685	-0.224229	95
2104.260374	249.823502	1.290107	-0.224173	97
2106.355769	249.726181	1.290851	-0.223610	99
2108.451156	249.685074	1.290621	-0.223729	101
2110.546802	249.613800	1.288599	-0.222886	103
2112.642145	249.586060	1.286052	-0.222008	105
2114.737904	249.637192	1.286055	-0.222242	107
2116.833487	249.621689	1.285094	-0.221434	109
2118.929197	249.542892	1.285129	-0.221249	111
2121.024959	249.573471	1.284630	-0.220840	113
2123.120451	249.544022	1.282381	-0.220099	115
2125.215802	249.497177	1.282476	-0.219445	117
2127.311551	249.451782	1.280094	-0.218803	119
2129.406976	249.409866	1.277932	-0.217727	121
2131.502208	249.349014	1.275983	-0.216807	123
2133.597489	249.262817	1.273420	-0.215698	125
2135.692514	249.134521	1.271885	-0.215027	127
2137.787766	249.016510	1.270028	-0.214370	129
2139.882594	248.915863	1.268346	-0.213539	131
2141.977751	248.797729	1.266770	-0.212650	133
2144.072762	248.659012	1.265354	-0.211917	135
2146.167454	248.526810	1.263636	-0.211061	137
2148.262658	248.318024	1.262153	-0.210082	139
2150.357527	248.149124	1.260686	-0.209060	141
2152.452215	248.005035	1.258895	-0.207916	143
2154.546900	247.821564	1.257757	-0.206952	145
2156.641836	247.587204	1.257047	-0.206336	147
2158.736396	247.363297	1.257104	-0.205517	149
2160.830891	247.164185	1.255837	-0.204804	151
2162.925226	246.810638	1.255238	-0.203836	153
2165.019516	246.511414	1.253076	-0.202899	155
2167.113871	246.236832	1.251869	-0.201958	157
2169.208677	245.974380	1.251439	-0.201168	159
2171.302780	245.717285	1.250016	-0.200613	161
2173.397238	245.362564	1.247841	-0.199038	163
2175.491767	245.194733	1.246205	-0.198284	165
2177.586588	245.019150	1.245988	-0.197578	167
2179.681243	244.825623	1.244632	-0.196690	169
2181.776588	244.699982	1.243041	-0.195683	171
2183.871392	244.602753	1.241476	-0.194834	173
2185.966505	244.517059	1.240604	-0.194125	175
2188.062144	244.458069	1.238488	-0.192899	177
2190.157513	244.413925	1.236560	-0.191767	179
2192.252690	244.360489	1.235412	-0.190815	181
2194.348379	244.387741	1.233632	-0.189484	183
2196.443986	244.394775	1.232170	-0.188568	185
2198.539884	244.370743	1.231065	-0.187952	187
2200.635196	244.369370	1.230732	-0.187019	189
2202.730704	244.374207	1.229714	-0.186005	191
2204.826153	244.375809	1.228736	-0.185308	193
2206.921344	244.334641	1.227362	-0.184008	195
2209.016617	244.259155	1.226257	-0.183100	197
2211.112064	244.215149	1.225276	-0.182150	199
2213.207115	244.188721	1.223889	-0.181358	201
2215.302044	244.068344	1.223496	-0.180337	203
2217.397181	243.914597	1.222097	-0.179326	205
2219.491846	243.797577	1.219586	-0.177466	207
2221.587109	243.741348	1.219246	-0.177251	209
2223.682281	243.638824	1.219363	-0.176474	211
2225.777017	243.577209	1.218731	-0.175314	213
2227.871887	243.406616	1.219647	-0.174394	215
2229.966795	243.235352	1.217987	-0.172863	217
2232.061335	243.139069	1.215854	-0.171717	219
2234.155995	242.982788	1.215626	-0.170723	221
2236.250806	242.801102	1.214640	-0.169672	223
2238.345263	242.616318	1.213477	-0.168441	225
2240.439929	242.394943	1.212301	-0.167012	227
2242.534557	242.210358	1.211380	-0.165792	229
2244.628907	242.030594	1.209897	-0.164647	231
2246.723211	241.804031	1.209647	-0.163570	233
2248.817608	241.603455	1.207434	-0.162400	235
2250.912269	241.384384	1.206691	-0.160910	237
2253.006574	241.195786	1.203974	-0.159595	239
2255.101314	241.019821	1.201986	-0.158219	241
2257.196070	240.870819	1.200744	-0.157006	243
2259.290824	240.708481	1.198895	-0.155560	245
2261.385526	240.593964	1.197881	-0.154309	247
2263.480657	240.506638	1.195640	-0.152931	249
2265.575426	240.406693	1.194633	-0.151758	251
2267.670657	240.333374	1.191576	-0.150005	253
2269.765808	240.269730	1.189556	-0.148500	255
2271.860998	240.282928	1.189470	-0.147579	1
2273.956219	240.177338	1.188820	-0.146424	3
2276.051573	240.115677	1.187782	-0.145166	5
2278.146859	240.154526	1.185775	-0.144026	7
2280.242093	240.098587	1.184334	-0.142846	9
2282.337331	240.060028	1.184248	-0.141767	11
2284.432680	240.004318	1.183681	-0.140633	13
2286.527535	239.963898	1.182786	-0.139287	15
2288.623035	239.942413	1.182010	-0.138336	17
2290.718181	239.878632	1.180071	-0.136815	19
2292.812908	239.844696	1.177599	-0.135397	21
2294.908011	239.738571	1.176621	-0.134300	23
2297.003011	239.623093	1.174660	-0.132595	25
2299.098425	239.588821	1.174082	-0.131570	27
2301.192839	239.531708	1.173706	-0.130388	29
2303.287874	239.424942	1.173310	-0.129418	31
2305.382401	239.364090	1.172224	-0.128096	33
2307.477306	239.249771	1.170210	-0.126744	35
2309.571629	239.172470	1.169149	-0.125605	37
2311.666952	239.065308	1.167958	-0.124095	39
2313.761539	238.932938	1.166319	-0.122817	41
2315.856097	238.824097	1.165554	-0.121408	43
2317.950393	238.725113	1.164512	-0.120244	45
2320.045149	238.559464	1.163899	-0.118756	47
2322.139384	238.427917	1.162799	-0.117404	49
2324.234015	238.289764	1.162515	-0.116114	51
2326.328743	238.189423	1.162667	-0.115038	53
2328.423219	238.018280	1.162346	-0.113806	55
2330.517680	237.894852	1.160742	-0.112401	57
2332.612315	237.768936	1.159593	-0.110844	59
2334.706831	237.698044	1.158073	-0.109682	61
2336.801322	237.526321	1.156943	-0.108254	63
2338.895920	237.507187	1.155372	-0.106855	65
2340.990782	237.402817	1.156039	-0.106027	67
2343.085919	237.348709	1.156262	-0.104882	69
2345.180507	237.244705	1.155724	-0.103476	71
2347.275717	237.178543	1.153576	-0.102014	73
2349.370922	237.197876	1.150699	-0.100546	75
2351.466012	237.106369	1.149009	-0.099276	77
2353.561137	236.998047	1.147376	-0.097622	79
2355.656173	237.099533	1.145002	-0.096092	81
2357.751596	237.094635	1.144485	-0.095034	83
2359.846394	236.993378	1.144021	-0.093684	85
2361.941987	236.977676	1.143184	-0.092598	87
2364.036763	236.923447	1.142553	-0.091153	89
2366.132061	236.862122	1.141903	-0.089945	91
2368.226775	236.805069	1.139629	-0.088513	93
2370.321854	236.755264	1.137861	-0.087175	95
2372.416879	236.728943	1.136144	-0.085625	97
2374.511533	236.638062	1.134277	-0.084175	99
2376.606480	236.591949	1.132580	-0.082832	101
2378.701149	236.541458	1.131706	-0.081500	103
2380.795752	236.532364	1.130221	-0.080348	105
2382.890821	236.425171	1.129279	-0.078581	107
2384.985082	236.365173	1.128853	-0.077391	109
2387.079736	236.297882	1.127413	-0.075991	111
2389.174437	236.231720	1.127064	-0.074590	113
2391.269152	236.172226	1.127493	-0.073516	115
2393.363465	236.097260	1.127046	-0.072189	117
2395.458309	235.976990	1.125982	-0.070844	119
2397.552432	235.931534	1.124674	-0.069544	121
2399.647276	235.759033	1.123366	-0.067709	123
2401.741715	235.774582	1.120625	-0.066386	125
2403.836302	235.706757	1.120407	-0.065158	127
2405.930452	235.601761	1.119064	-0.063913	129
2408.025236	235.513855	1.119512	-0.062677	131
2410.119749	235.439789	1.118371	-0.061373	133
2412.213900	235.364624	1.117445	-0.060168	135
2414.308585	235.293930	1.115369	-0.058968	137
2416.403384	235.255859	1.114938	-0.057718	139
2418.498459	235.163071	1.113703	-0.056167	141
2420.592913	235.164459	1.111915	-0.055003	143
2422.687828	235.124313	1.111400	-0.053641	145
2424.782806	235.094940	1.110039	-0.052490	147
2426.877657	235.063461	1.108537	-0.050982	149
2428.972731	235.004120	1.107160	-0.049610	151
2431.068057	234.987274	1.105598	-0.048084	153
2433.162617	234.942963	1.104661	-0.046967	155
2435.258155	234.917755	1.103960	-0.045352	157
2437.352781	234.882233	1.102559	-0.044328	159
2439.448136	234.836884	1.101466	-0.042957	161
2441.542593	234.774445	1.099648	-0.041434	163
2443.637612	234.846786	1.097672	-0.040233	165
2445.732494	234.754868	1.096546	-0.038811	167
2447.827530	234.583038	1.099422	-0.038810	169
2449.920438	234.512802	1.095404	-0.038202	171
2452.016842	234.624634	1.092335	-0.036535	173
2454.111396	234.334915	1.092500	-0.033082	175
2456.205513	234.384094	1.092250	-0.031784	177
2458.299952	234.425903	1.091209	-0.030635	179
2460.395397	234.470108	1.089674	-0.028498	181
2462.490522	234.528244	1.088647	-0.030823	183
2464.585690	234.524826	1.088103	-0.028039	185
2466.680080	234.390640	1.086693	-0.026015	187
2468.774550	234.346603	1.085640	-0.025178	189
2470.868904	234.344345	1.084090	-0.023745	191
2472.963651	234.310501	1.083263	-0.022452	193
2475.058029	234.283768	1.081483	-0.020929	195
2477.152392	234.261749	1.080388	-0.019955	197
2479.246742	234.192886	1.078779	-0.018424	199
2481.341938	234.172150	1.077919	-0.017144	201
2483.435540	234.156281	1.076239	-0.016221	203
2485.530510	234.080780	1.076186	-0.014818	205
2487.624913	234.106354	1.075060	-0.013374	207
2489.719226	234.062302	1.074449	-0.011952	209
2491.814057	234.041718	1.073716	-0.011209	211
2493.908624	234.001099	1.073303	-0.009644	213
2496.003386	233.927185	1.071525	-0.008292	215
2498.098376	233.892365	1.070154	-0.009512	217
2500.192143	233.866730	1.074072	-0.005992	219
2502.286400	233.944244	1.068592	-0.004926	221
2504.382020	233.903244	1.067640	-0.003678	223
2506.476737	233.922531	1.066256	-0.002200	225
2508.571620	233.886566	1.065267	-0.001145	227
2510.666479	233.841919	1.064463	0.000326	229
2512.761524	233.820160	1.062925	0.001471	231
2514.856272	233.860260	1.060764	0.002445	233
2516.951478	233.785049	1.059857	0.004059	235
2519.046183	233.783401	1.059072	0.005105	237
2521.140951	233.775284	1.058245	0.006416	239
2523.235881	233.781555	1.056828	0.007503	241
2525.330207	233.765076	1.055642	0.008616	243
2527.425244	233.764145	1.054104	0.010230	245
2529.520818	233.747116	1.051658	0.011212	247
2531.614623	233.729630	1.050952	0.012441	249
2533.709155	233.758331	1.049981	0.013602	251
2535.804226	233.765045	1.049539	0.015114	253
2537.898880	233.754578	1.048362	0.015980	255
2539.993250	233.750641	1.048126	0.017071	1
2542.087723	233.791245	1.047716	0.018363	3
