time (s)	det(V)
3602.311950	-0.048835	
3602.313486	-0.053951	
3602.315217	-0.058999	
3602.316753	-0.072333	
3602.318444	-0.030599	
3602.319998	-0.054020	
3602.321688	-0.051848	
3602.323247	-0.046970	
3602.324916	-0.042889	
3602.326512	-0.090609	
3602.328169	-0.056461	
3602.329760	-0.057267	
3602.331400	-0.064775	
3602.333009	-0.087096	
3602.334646	-0.025117	
3602.336305	-0.054471	
3602.337799	-0.062777	
3602.339439	-0.055132	
3602.340917	-0.046169	
3602.342570	-0.078472	
3602.344047	-0.066991	
3602.345674	-0.057101	
3602.347155	-0.060320	
3602.348767	-0.067478	
3602.350283	-0.074826	
3602.351940	-0.043228	
3602.353483	-0.060610	
3602.355109	-0.058278	
3602.356690	-0.052126	
3602.358302	-0.046016	
3602.359882	-0.080558	
3602.361471	-0.058020	
3602.363086	-0.056207	
3602.364731	-0.065537	
3602.366351	-0.086617	
3602.367991	-0.027896	
3602.369618	-0.055780	
3602.371223	-0.058282	
3602.372887	-0.050096	
3602.374489	-0.029387	
3602.376147	-0.087825	
3602.377745	-0.055603	
3602.379435	-0.048956	
3602.381007	-0.059087	
3602.382718	-0.068562	
3602.384270	-0.032420	
3602.385975	-0.046821	
3602.387530	-0.049198	
3602.389227	-0.038426	
3602.390772	-0.032911	
3602.392491	-0.055538	
3602.393998	-0.047873	
3602.395760	-0.031932	
3602.397243	-0.041121	
3602.399006	-0.047019	
3602.400493	-0.043776	
3602.402263	-0.021930	
3602.403742	-0.034861	
3602.405514	-0.017978	
3602.407014	-0.009128	
3602.408789	-0.014365	
3602.410292	-0.032923	
3602.412046	-0.007936	
3602.413566	-0.010812	
3602.415297	-0.010848	
3602.416821	-0.018559	
3602.418527	0.020166	
3602.420065	0.010393	
3602.421765	0.018957	
3602.423326	0.025338	
3602.425017	0.036150	
3602.426589	-0.006349	
3602.428269	0.032875	
3602.429857	0.045601	
3602.431533	0.030833	
3602.433155	0.032480	
3602.434644	0.083024	
3602.436287	0.061617	
3602.437808	0.067539	
3602.439451	0.085501	
3602.440936	0.091580	
3602.442580	0.085541	
3602.444064	0.101884	
3602.445706	0.110875	
3602.447206	0.112169	
3602.448910	0.118541	
3602.450413	0.119605	
3602.452084	0.158535	
3602.453586	0.152955	
3602.455241	0.170201	
3602.456776	0.187937	
3602.458413	0.203333	
3602.459964	0.171248	
3602.461644	0.216921	
3602.463218	0.239951	
3602.464885	0.246553	
3602.466497	0.236607	
3602.468167	0.316110	
3602.469763	0.300102	
3602.471421	0.327112	
3602.473013	0.349308	
3602.474643	0.381232	
3602.476275	0.353731	
3602.477870	0.403456	
3602.479560	0.430059	
3602.481148	0.443671	
3602.482827	0.462423	
3602.484413	0.529788	
3602.486091	0.544999	
3602.487666	0.570716	
3602.489371	0.620120	
3602.490929	0.648250	
3602.492644	0.652403	
3602.494187	0.716457	
3602.495880	0.767040	
3602.497416	0.791343	
3602.499126	0.831280	
3602.500626	0.884164	
3602.502399	0.943276	
3602.503885	0.980187	
3602.505679	1.046590	
3602.507157	1.100138	
3602.508930	1.153405	
3602.510419	1.199428	
3602.512188	1.265694	
3602.513677	1.326256	
3602.515431	1.388550	
3602.516947	1.449853	
3602.518691	1.552897	
3602.520205	1.595207	
3602.521944	1.629411	
3602.523472	1.632747	
3602.525190	1.632868	
3602.526732	1.632690	
3602.528447	1.632803	
3602.530031	1.632618	
3602.531536	1.632775	
3602.533199	1.632710	
3602.534693	1.632722	
3602.536324	1.632678	
3602.537856	1.632634	
3602.539508	1.632698	
3602.541004	1.632739	
3602.542642	1.632767	
3602.544132	1.632561	
3602.545779	1.632727	
3602.547270	1.632674	
3602.548965	1.632803	
3602.550453	1.632674	
3602.552141	1.632650	
3602.553634	1.632614	
3602.555308	1.632739	
3602.556832	1.632714	
3602.558550	1.632859	
3602.560081	1.632779	
3602.561792	1.632815	
3602.563348	1.632630	
3602.565046	1.633045	
3602.566606	1.632646	
3602.568293	1.632932	
3602.569875	1.632646	
3602.571551	1.632904	
3602.573140	1.632827	
3602.574780	1.632944	
3602.576392	1.632727	
3602.578046	1.632920	
3602.579644	1.632739	
3602.581291	1.632948	
3602.582910	1.632694	
3602.584509	1.632847	
3602.586182	1.632827	
3602.587756	1.632932	
3602.589453	1.632682	
3602.591038	1.632944	
3602.592708	1.632888	
3602.594292	1.632811	
3602.595989	1.632795	
3602.597556	1.632900	
3602.599280	1.632702	
3602.600828	1.632900	
3602.602524	1.632779	
3602.604051	1.632831	
3602.605792	1.632799	
3602.607283	1.632867	
3602.609042	1.632912	
3602.610535	1.632896	
3602.612330	1.632843	
3602.613806	1.632936	
3602.615594	1.632819	
3602.617079	1.632831	
3602.618858	1.632936	
3602.620342	1.632839	
3602.622108	1.632916	
3602.623616	1.632847	
3602.625374	1.632811	
3602.626905	1.632775	
3602.628398	1.632851	
3602.630005	1.632779	
3602.631499	1.632767	
3602.633172	1.632835	
3602.634664	1.632827	
3602.636296	1.632658	
3602.637834	1.632859	
3602.639481	1.632730	
3602.640969	1.632726	
3602.642621	1.632856	
3602.644102	1.632896	
3602.645813	1.632674	
3602.647298	1.632730	
3602.648992	1.632843	
3602.650481	1.632678	
3602.652176	1.632851	
3602.653664	1.632759	
3602.655342	1.632811	
3602.656870	1.632751	
3602.658607	1.632835	
3602.660122	1.632686	
3602.661832	1.632920	
3602.663372	1.632594	
3602.665070	1.632763	
3602.666625	1.632662	
3602.668315	1.632944	
3602.669878	1.632602	
3602.671552	1.632856	
3602.673132	1.632614	
3602.674792	1.632976	
3602.676380	1.632674	
3602.678032	1.632884	
3602.679647	1.632630	
3602.681268	1.555234	
3602.682905	1.261751	
3602.684501	1.071094	
3602.686166	0.809177	
3602.687770	0.566781	
3602.689434	0.342717	
3602.691025	0.123677	
3602.692682	-0.162502	
3602.694254	-0.372269	
3602.695978	-0.597021	
3602.697515	-0.829334	
3602.699222	-1.066885	
3602.700762	-1.266593	
3602.702492	-1.494966	
3602.704014	-1.616488	
3602.705757	-1.621435	
3602.707244	-1.621411	
3602.709017	-1.621419	
3602.710501	-1.621492	
3602.712283	-1.621419	
3602.713763	-1.621447	
3602.715539	-1.621415	
3602.717028	-1.621415	
3602.718765	-1.621383	
3602.720264	-1.621439	
3602.722023	-1.621496	
3602.723549	-1.621572	
3602.725055	-1.621576	
3602.726664	-1.621516	
3602.728161	-1.621471	
3602.729825	-1.621399	
3602.731319	-1.621480	
3602.732945	-1.621520	
3602.734483	-1.621520	
3602.736112	-1.621524	
3602.737605	-1.621407	
3602.739253	-1.621552	
3602.740732	-1.621419	
3602.742449	-1.621512	
3602.743934	-1.621552	
3602.745636	-1.621516	
3602.747118	-1.621629	
3602.748812	-1.621629	
3602.750306	-1.621560	
3602.751989	-1.621463	
3602.753518	-1.621516	
3602.755260	-1.621463	
3602.756791	-1.621548	
3602.758506	-1.621612	
3602.760044	-1.621584	
3602.761726	-1.621512	
3602.763282	-1.621624	
3602.764988	-1.621572	
3602.766556	-1.621520	
3602.768232	-1.621504	
3602.769818	-1.621629	
3602.771465	-1.621488	
3602.773070	-1.621508	
3602.774720	-1.621443	
3602.776327	-1.621625	
3602.777974	-1.621443	
3602.779588	-1.621725	
3602.781190	-1.621475	
3602.782865	-1.621798	
3602.784453	-1.621504	
3602.786125	-1.621572	
3602.787736	-1.621411	
3602.789396	-1.621633	
3602.790981	-1.621500	
3602.792677	-1.621584	
3602.794241	-1.621536	
3602.795944	-1.621560	
3602.797492	-1.621516	
3602.799192	-1.621431	
3602.800736	-1.621544	
3602.802466	-1.621548	
3602.803974	-1.621443	
3602.805741	-1.621532	
3602.807229	-1.621508	
3602.809010	-1.621548	
3602.810500	-1.621419	
3602.812277	-1.621572	
3602.813761	-1.621447	
3602.815543	-1.621407	
3602.817033	-1.621427	
3602.818808	-1.621540	
3602.820323	-1.621471	
3602.821817	-1.621612	
3602.823390	-1.621451	
3602.824922	-1.621495	
3602.826537	-1.621484	
3602.828037	-1.621443	
3602.829678	-1.621487	
3602.831210	-1.621435	
3602.832845	-1.621564	
3602.834324	-1.621367	
3602.836057	-1.621483	
3602.837532	-1.621351	
3602.839267	-1.621367	
3602.840744	-1.621463	
3602.842460	-1.621463	
3602.843946	-1.621399	
3602.845630	-1.621407	
3602.847126	-1.621439	
3602.848900	-1.621375	
3602.850387	-1.621439	
3602.852170	-1.621528	
3602.853648	-1.621443	
3602.855419	-1.621379	
3602.856928	-1.621475	
3602.858667	-1.621439	
3602.860186	-1.621427	
3602.861921	-1.621419	
3602.863457	-1.621423	
3602.865185	-1.620416	
3602.866713	-1.576036	
3602.868419	-1.446505	
3602.869965	-1.403797	
3602.871663	-1.344943	
3602.873224	-1.267169	
3602.874889	-1.207578	
3602.876471	-1.198252	
3602.878114	-1.116598	
3602.879716	-1.063428	
3602.881376	-1.020063	
3602.882978	-0.985315	
3602.884601	-0.892289	
3602.886218	-0.871789	
3602.887826	-0.835735	
3602.889487	-0.781587	
3602.891068	-0.740160	
3602.892756	-0.737670	
3602.894345	-0.680734	
3602.896015	-0.645554	
3602.897593	-0.626682	
3602.899288	-0.588030	
3602.900844	-0.551409	
3602.902541	-0.521809	
3602.904069	-0.499387	
3602.905791	-0.467716	
3602.907294	-0.440042	
3602.909059	-0.433931	
3602.910544	-0.417914	
3602.912312	-0.387283	
3602.913805	-0.371979	
3602.915576	-0.354500	
3602.917083	-0.332687	
3602.918575	-0.300138	
3602.920147	-0.301093	
3602.921694	-0.276089	
3602.923290	-0.253841	
3602.924786	-0.231600	
3602.926469	-0.262574	
3602.927961	-0.217719	
3602.929586	-0.207120	
3602.931120	-0.202492	
3602.932749	-0.188449	
3602.934224	-0.158676	
3602.935951	-0.154933	
3602.937429	-0.149459	
3602.939157	-0.130409	
3602.940642	-0.118251	
3602.942346	-0.123834	
3602.943833	-0.112898	
3602.945541	-0.092792	
3602.947030	-0.095056	
3602.948803	-0.089155	
3602.950293	-0.080284	
3602.952051	-0.055349	
3602.953555	-0.057653	
3602.955295	-0.042164	
3602.956816	-0.036078	
3602.958525	-0.027658	
3602.960059	-0.050990	
3602.961796	-0.020907	
3602.963335	-0.022075	
3602.965029	-0.019255	
3602.966598	-0.028456	
3602.968285	0.029487	
3602.969855	0.016428	
3602.971541	0.010844	
3602.973112	0.022796	
3602.974773	0.037161	
3602.976377	-0.012963	
3602.978034	0.018333	
3602.979637	0.023856	
3602.981283	0.020190	
3602.982888	0.008935	
3602.984501	0.053432	
3602.986174	0.032545	
3602.987757	0.045762	
3602.989427	0.055079	
3602.991013	0.053980	
3602.992673	0.024263	
3602.994256	0.051067	
3602.995935	0.049419	
3602.997499	0.043893	
3602.999200	0.044722	
3603.000744	0.050439	
3603.002472	0.058479	
3603.003984	0.052413	
3603.005728	0.057859	
3603.007210	0.058028	
3603.008981	0.051736	
3603.010472	0.047784	
3603.012266	0.058032	
3603.013745	0.057702	
3603.015542	0.044473	
3603.017021	0.044279	
3603.018637	0.070657	
3603.020162	0.052855	
3603.021716	0.054290	
3603.023339	0.066363	
3603.024825	0.074282	
3603.026493	0.025962	
3603.027976	0.062230	
3603.029615	0.055510	
3603.031149	0.049798	
3603.032847	0.035884	
3603.034330	0.072925	
3603.036031	0.057625	
3603.037510	0.055893	
3603.039207	0.058858	
3603.040693	0.062048	
3603.042412	0.042769	
3603.043901	0.049572	
3603.045679	0.054761	
3603.047161	0.051413	
3603.048945	0.035421	
3603.050428	0.038301	
3603.052211	0.057967	
3603.053695	0.046797	
3603.055462	0.055244	
3603.056956	0.049327	
3603.058721	0.053597	
3603.060218	0.030756	
3603.061949	0.049665	
3603.063469	0.052815	
3603.065186	0.037097	
3603.066719	0.029705	
3603.068437	0.071418	
3603.069984	0.045528	
3603.071674	0.052203	
3603.073230	0.053593	
3603.074913	0.068381	
3603.076484	0.020516	
3603.078153	0.043663	
3603.079741	0.042378	
3603.081399	0.036770	
3603.083017	0.028613	
3603.084652	0.069186	
3603.086280	0.047816	
3603.087929	0.044336	
3603.089536	0.051168	
3603.091157	0.059116	
3603.092839	0.015320	
3603.094428	0.042777	
3603.096096	0.045439	
3603.097677	0.033459	
3603.099355	0.033060	
3603.100942	0.048775	
3603.102612	0.039917	
3603.104176	0.035933	
3603.105904	0.050378	
3603.107454	0.046410	
3603.109155	0.025983	
3603.110690	0.030692	
3603.112437	0.038938	
3603.113922	0.034225	
3603.115573	0.028944	
3603.117070	0.029516	
3603.118684	0.050004	
3603.120212	0.036968	
3603.121778	0.038579	
3603.123332	0.038221	
3603.124829	0.045427	
3603.126462	0.005386	
3603.128021	0.028992	
3603.129629	0.033298	
3603.131173	0.025423	
3603.132837	0.015920	
3603.134333	0.046519	
3603.136036	0.031574	
3603.137520	0.032714	
3603.139258	0.031405	
3603.140802	0.033661	
3603.142511	0.020202	
3603.144051	0.020706	
3603.145797	0.026144	
3603.147327	0.019827	
3603.149069	0.010977	
3603.150568	0.021165	
3603.152338	0.017217	
3603.153816	0.015469	
3603.155587	0.022176	
3603.157070	0.028234	
3603.158857	0.014921	
3603.160339	0.006047	
3603.162085	0.018240	
3603.163583	0.009926	
3603.165353	0.006590	
3603.166861	0.002469	
3603.168590	0.037520	
3603.170113	0.014002	
