time (s)	magX	magY	magZ
5543.961785	133.990067	-0.980129	3.631214
5543.965113	133.580948	-0.629457	3.631214
5543.968447	132.762726	-0.980129	3.572765
5543.971776	132.587372	-0.220339	3.689655
5543.975107	131.418472	-0.337229	3.397430
5543.978442	130.424911	0.247224	2.579197
5543.981778	129.489777	0.013443	2.462307
5543.985127	129.139099	0.481005	2.462307
5543.988440	128.087097	0.656341	2.170074
5543.991779	127.970200	1.065459	1.936295
5543.995112	126.625961	0.831677	1.936295
5543.998439	126.684402	1.299240	1.760963
5544.001771	126.742844	1.533022	1.936295
5544.005114	125.398605	1.065459	1.877853
5544.008444	125.106369	2.059030	2.228523
5544.011829	124.814156	2.059030	1.702515
5544.015148	125.632385	2.117475	1.176510
5544.018437	124.521927	2.409702	0.708939
5544.021767	124.463478	2.526593	1.001171
5544.025103	124.054359	3.227937	0.475159
5544.028468	123.177673	2.585038	0.241379
5544.032614	123.762131	3.753945	1.001171
5544.035975	122.827003	4.104617	0.182934
5544.039330	123.236122	3.695500	0.650497
5544.042704	122.768555	4.163063	0.007595
5544.045554	123.002335	5.565751	0.299828
5544.048882	123.002335	5.039743	-0.459969
5544.052204	122.827003	5.273524	0.650497
5544.055523	122.885452	5.857978	0.299828
5544.058439	123.294571	5.857978	-0.050846
5544.061772	122.943893	5.741087	0.416718
5544.065100	123.294571	6.150205	0.884277
5544.068440	123.177673	6.091759	-0.050846
5544.071798	123.119232	6.267096	0.416718
5544.075100	123.469902	6.383986	0.416718
5544.078435	123.236122	6.851549	0.825836
5544.081765	123.937462	7.494448	1.118061
5544.085098	123.703682	8.195792	0.942726
5544.088436	124.288139	8.254237	0.708939
5544.091768	124.580368	8.195792	0.241379
5544.095103	124.580368	8.020456	1.351841
5544.098435	125.340149	8.546464	1.176510
5544.101784	125.690826	8.604910	1.410290
5544.105101	126.041489	8.488019	0.767387
5544.108460	126.625961	8.838691	0.533607
5544.111763	126.742844	8.838691	0.825836
5544.115112	126.976624	9.130918	0.942726
5544.118429	127.677963	10.124489	0.825836
5544.121766	128.496201	9.949153	1.410290
5544.125093	129.606659	9.715371	1.644070
5544.129272	130.717117	10.299825	1.527180
5544.132633	130.717117	10.708942	2.637638
5544.135977	132.470490	11.410286	2.111633
5544.138938	133.405609	11.293395	2.403858
5544.142211	133.873169	11.819405	3.572765
5544.145560	134.574524	11.293395	3.338982
5544.148854	135.451202	11.819405	3.455875
5544.152179	135.918762	12.637639	3.631214
5544.155099	136.970779	12.637639	3.514320
5544.158434	138.256577	13.222093	4.332558
5544.161760	139.542374	13.163647	4.917011
5544.165089	140.185272	13.806546	4.683228
5544.168426	140.535950	13.631209	4.858562
5544.171764	141.237289	14.274109	5.618355
5544.175089	143.458206	14.800117	6.495029
5544.178431	144.744019	15.092344	7.780830
5544.181754	145.854477	15.384570	7.079483
5544.185089	147.081833	15.793688	6.904152
5544.188440	148.718292	16.202805	7.897720
5544.191755	150.296326	16.787258	8.657513
5544.195090	151.348343	17.254822	8.949734
5544.198420	152.283463	17.313267	9.125072
5544.201753	154.270599	17.722383	10.235535
5544.205097	156.374634	18.774401	10.819992
5544.208425	158.303329	19.125072	11.813560
5544.211758	159.355347	19.300407	12.105789
5544.215087	161.167160	20.118645	12.339569
5544.218417	163.212738	21.112215	13.800697
5544.221755	164.264755	21.579777	13.917595
5544.225938	168.706604	22.573347	16.080070
5544.229292	170.226196	23.450027	16.430740
5544.232663	173.090012	23.917593	17.365868
5544.236025	174.784927	24.735826	18.008766
5544.238867	177.765625	25.495617	19.060783
5544.242201	179.694336	25.437170	20.346588
5544.245525	182.324371	26.664522	20.405029
5544.248842	184.662186	27.482758	22.509056
5544.251752	186.883118	28.242546	22.684395
5544.255083	189.863831	28.710112	23.911743
5544.258422	192.026306	29.528345	25.606667
5544.261753	195.123917	30.346581	26.775574
5544.265081	197.344833	31.690823	28.528931
5544.268411	200.325531	32.450615	29.756287
5544.271750	203.364700	33.268848	31.392754
5544.275097	206.345413	34.145527	32.269432
5544.278412	209.443024	35.431328	33.847458
5544.281749	212.131500	36.424900	35.951492
5544.285075	216.047333	37.710697	37.938629
5544.288411	219.028061	38.295151	39.341324
5544.291749	222.534775	39.464058	41.094681
5544.295078	225.573944	40.749855	43.841614
5544.298410	229.723541	42.327877	46.530106
5544.301800	233.464050	43.789013	48.283463
5544.305076	236.795456	45.016369	50.562828
5544.308411	241.120407	46.243721	53.309769
5544.311778	244.276459	47.412624	55.589127
5544.315078	248.542953	49.224430	58.160721
5544.318424	252.225021	50.627121	61.316780
5544.323035	261.108704	54.075397	68.797783
5544.325952	265.901245	55.419636	72.070717
5544.329278	270.810638	58.108128	75.402115
5544.332675	275.077148	60.445942	79.727051
5544.336022	279.869690	62.374634	82.590881
5544.338912	284.662201	64.303329	87.558731
5544.342173	289.630066	66.641144	90.890121
5544.345512	294.422546	68.745178	96.267090
5544.348831	300.091766	71.141434	101.118073
5544.351741	305.234955	73.654587	104.858566
5544.355074	310.670380	76.518410	109.534195
5544.358403	316.631805	79.265343	115.612503
5544.361766	320.898315	81.720047	120.755692
5544.365073	326.450623	84.876091	127.418472
5544.368409	332.821167	87.798363	133.029221
5544.371736	338.022797	90.603737	139.633545
5544.375076	343.516663	93.526001	145.478088
5544.378402	348.893646	97.032730	152.608414
5544.381737	355.205719	99.838104	159.504974
5544.385071	362.102295	103.929276	166.927521
5544.388400	367.654572	107.202217	175.811234
5544.391737	373.499146	110.650490	184.461136
5544.395099	379.168335	114.274109	192.175934
5544.398405	386.240234	118.306839	201.176514
5544.401735	392.084747	122.690231	210.235550
5544.405094	398.513733	127.015198	220.054367
5544.408399	404.241364	130.931030	230.516068
5544.411735	409.209259	135.489777	240.860916
5544.415064	415.930450	140.808289	252.549973
5544.418413	421.073639	145.483917	262.310364
5544.422583	432.295135	155.302750	287.032715
5544.425935	437.672150	160.153702	299.423157
5544.429278	444.276428	165.589127	312.865601
5544.432715	448.659851	170.790771	327.535339
5544.435532	454.095276	176.635300	341.211548
5544.438835	457.601990	182.888947	355.705994
5544.442158	462.336060	189.142609	370.843384
5544.445483	465.959686	195.104034	387.091187
5544.448434	469.758606	201.591461	402.579224
5544.451736	473.440704	208.546463	418.943848
5544.455061	476.070740	215.033890	436.009949
5544.458390	478.934540	222.105789	453.660461
